id,name,is_superhost,created_at,updated_at
1581,Annette,False,2014-01-05 16:12:45,2014-01-05 16:12:45
2164,Lulah,True,2013-07-31 23:29:31,2013-07-31 23:29:31
2217,Ion,True,2017-10-17 05:20:28,2017-10-17 05:20:28
3718,Britta,False,2009-06-05 21:34:42,2009-06-05 21:34:42
11622,Maria,False,2021-10-24 02:42:09,2021-10-24 02:42:09
12360,Michael,True,2017-08-27 12:08:43,2017-08-27 12:08:43
12424,Mariana,False,2021-11-08 17:27:31,2021-11-08 17:27:31
15115,Christian,False,2015-01-03 17:53:53,2015-01-03 17:53:53
17391,BrightRoom,True,2009-08-12 12:30:30,2009-08-12 12:30:30
22901,Hannes,False,2013-07-06 11:09:47,2013-07-06 11:09:47
32299,Simon,False,2021-11-15 21:27:50,2021-11-15 21:27:50
32918,Patricia,False,2017-02-28 21:08:27,2017-02-28 21:08:27
33355,Doug,False,2013-05-30 16:36:37,2013-05-30 16:36:37
33852,Philipp,False,2015-07-30 05:08:52,2015-07-30 05:08:52
35103,Kamal,False,2017-12-04 04:25:58,2017-12-04 04:25:58
48159,Tracey,False,2019-06-04 22:26:33,2019-06-04 22:26:33
54283,Marine,True,2010-09-27 10:29:48,2010-09-27 10:29:48
55531,Chris + Oliver,True,2010-06-15 19:56:01,2010-06-15 19:56:01
60495,Inga,False,2021-10-29 07:55:08,2021-10-29 07:55:08
64696,Rene,False,2010-05-30 12:11:33,2010-05-30 12:11:33
68997,Matthias,False,2010-02-08 17:23:48,2010-02-08 17:23:48
71331,Marc,False,2012-09-24 21:03:01,2012-09-24 21:03:01
71913,Jennifer,False,2014-12-02 17:39:03,2014-12-02 17:39:03
73158,Mina,False,2017-12-23 07:04:54,2017-12-23 07:04:54
84157,Emanuela,False,2015-12-05 14:55:58,2015-12-05 14:55:58
86159,Javier,False,2011-03-31 17:17:58,2011-03-31 17:17:58
86173,Sebastian,False,2011-06-06 01:55:30,2011-06-06 01:55:30
87357,Ramfis,True,2010-10-08 08:59:12,2010-10-08 08:59:12
94918,Tanja,False,2010-05-26 11:58:00,2010-05-26 11:58:00
